geom,idespacio,nombre_del_espacio,longitude,latitude,tipo_de_cineclub,el_espacio_de_exhibicion_depende_de,ano_de_apertura,objetivo,frecuencia_de_exhibicion,tipo_de_poblacion,facebook,instagram,otra,estatus
POINT(-99.143586506874 19.3996881577508),356,"Nocturama, cineclub de Tristessa","-99,14358651","19,39968816",Mixto,Independiente,2023,Promover el cine,Una vez por semana,Para todo público,Sin información,https://www.instagram.com/circulodecinealamos?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D,Sin información,Activo
POINT(-99.1776715744809 19.4536452179823),264,Organización de Vecinos Popotla (ORVE- Popotla),"-99,17767157","19,45364522",Sin información,Comunitario,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,https://twitter.com/orvepopotla,Activo
POINT(-99.1583636492017 19.4118223609096),81,Ovnibus,"-99,15836365","19,41182236",Mixto,Comunitario,2013,Promover el cine,Sin temporalidad fija,Para todo público,Sin información,https://www.instagram.com/proyectoovni/,Sin información,Activo
POINT(-99.0682583 19.4154049),314,"PILARES ""Agrícola Pantitlán""","-99,0682583","19,4154049",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,Sin información,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.1601083524341 19.460352910288),312,"PILARES ""Atlampa""","-99,16010835","19,46035291",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/comunidadatlampa,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.2175597680606 19.3970415717805),308,"PILARES ""Belén de las Flores""","-99,21755977","19,39704157",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/profile.php?id=100063361890801,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.1718502659286 19.3179266043952),311,"PILARES ""Cantera""","-99,17185027","19,3179266",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,Sin información,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.3177123781789 19.3529835854115),316,"PILARES ""Chimalpa""","-99,31771238","19,35298359",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/actividadessanpablochimalpa,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.2484384241872 19.305462236098),315,"PILARES ""Huayatla""","-99,24843842","19,30546224",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/usuarioshuayatla,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.2373228466012 19.3742147579981),309,"PILARES ""Jalalpa Tepito""","-99,23732285","19,37421476",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/profile.php?id=100057054865982,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.1990971 19.4902399),310,"PILARES ""Margarita Maza de Juárez""","-99,1990971","19,4902399",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/comunidadmargaritamaza,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.1438166956695 19.4614599949292),317,"PILARES ""San Simón Tolnáhuac""","-99,1438167","19,46145999",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.125747486437 19.54487036261),313,"PILARES ""Tlalpexco""","-99,12574749","19,54487036",Presencial en un lugar fijo,Pilares,Sin información,Garantizar el ejercicio de los derechos culturales,Sin información,Para todo público,https://www.facebook.com/PILARESDETLALPEXCO,Sin información,https://pilares.cdmx.gob.mx/inicio?fbclid=IwAR3sa9138Y-lQR9xo6j6WuyXyF8VAhK-F05KmXHktKxSn70EI_gMRIcsYQg,Activo
POINT(-99.1641085 19.4192674),185,PULQUECINEMA,"-99,1641085","19,4192674",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Semanalmente,Comunidades específicas,https://www.facebook.com/pulqueriainsurgentes,Sin información,Sin información,Activo
POINT(-99.0675497 19.2920381),203,Parque Tematico Cananea,"-99,0675497","19,2920381",Presencial en un lugar fijo,Comunitario,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/ParquetematicoCananea/,Sin información,Sin información,Activo
POINT(-99.1696633 19.4608844),110,Parque de Bolsillo Nueva Santa María,"-99,1696633","19,4608844",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Quincenalmente,Para todo público,https://www.facebook.com/AzcapotzalcoMX/,Sin información,Sin información,Activo
POINT(-99.17733 19.4100606),184,Prevenidos Culturales,"-99,17733","19,4100606",Mixto,Comunitario,2017,Sin información,Sin información,Comunidades específicas,https://www.facebook.com/prevenidosac/,https://www.instagram.com/prevenidos/?hl=es-la,https://prevenidosculturales.wixsite.com/prevenidosculturales?fbclid=IwAR1hukjIhDDajUXgWhhmSq9rnGPAOktIzXv1CGKuGakvfirI7lots4wvVD8,Activo
POINT(-99.1878364897087 19.3951811816018),347,Proyecto Narud,"-99,18783649","19,39518118",Presencial en un lugar fijo,Independiente,2023,Garantizar el ejercicio de los derechos culturales,Quincenalmente,Vecinos,Sin información,https://www.instagram.com/proyecto.narud/,Sin información,Activo
POINT(-99.166135404281 19.3983105241605),117,Radio Cinema de Radio UNAM,"-99,1661354","19,39831052",Presencial en un lugar fijo,Institución educativa pública,Sin información,Sin información,Sin información,Comunidades específicas,Sin información,Sin información,https://www.radio.unam.mx/sala-julian-carrillo/,Activo
POINT(-99.1383219 19.363354),199,Raices Centro Cultural,"-99,1383219","19,363354",Presencial en un lugar fijo,Comunitario,Sin información,Sin información,Semanalmente,Sin información,https://www.facebook.com/RAICESCentroCulturalMX,Sin información,http://www.raicescentrocultural.com/?fbclid=IwAR01FRrq51m19m7GlXxpmCHFZ4zWmNxkjyv5NxcuFAtimpKM2HDMEKRhPK4,Activo
POINT(-99.1633254769482 19.4178099265432),154,Rebelar,"-99,16332548","19,41780993",Presencial en un lugar fijo,Independiente,2018,Formar públicos cinematográficos,Mensualmente,Comunidades específicas,https://www.facebook.com/gimnasiodearte/,Sin información,Sin información,Activo
POINT(-99.1620187465087 19.4091913399736),186,ReverdeSer,"-99,16201875","19,40919134",Itinerante,Comunitario,Sin información,Sin información,Mensualmente,Sin información,https://www.facebook.com/ReverdeSerC/,Sin información,http://reverdeser.org/?fbclid=IwAR0oFvieFYn0id8i-EOW5O5m6OJLR5CkfVAKqR57TY0ZYTaDT3TuN1hnc40,Activo
POINT(-99.1422655 19.3562773),128,Sala Luis Buñuel. CCC,"-99,1422655","19,3562773",Presencial en un lugar fijo,Dependencia de Gobierno Federal,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/elccc,Sin información,https://www.elccc.com.mx/sitio/,Activo
POINT(-99.0907815 19.3587543),252,Sala Quetzalcóatl (Auditorio),"-99,0907815","19,3587543",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Activo
POINT(-99.1168963170771 19.4894256911665),19,Sala Tepecuicatl ,"-99,11689632","19,48942569",Presencial en un lugar fijo,Alcaldía,2022,Formar públicos cinematográficos,Semanalmente,Para todo público,https://www.facebook.com/p/Sala-de-Conciertos-Tepecuicatl-100086346532619/,Sin información,https://sic.cultura.gob.mx/ficha.php?table=teatro&table_id=685,Activo
POINT(-99.1759269 19.4228005),207,Sala de cine Más Allá (CENTRO DE CULTURA DIGITAL),"-99,1759269","19,4228005",Presencial en un lugar fijo,Dependencia de Gobierno Federal,2012,Promover el cine,Diariamente,Para todo público,https://www.facebook.com/CentroCulturaDigital/,https://www.instagram.com/ccdmx/,https://www.centroculturadigital.mx/,Activo
POINT(-99.1650577 19.3707094),119,Sala de cine metro Zapata,"-99,1650577","19,3707094",Presencial en un lugar fijo,Dependencia del Gobierno de la CDMX,Sin información,Sin información,Dos veces por semana,Para todo público,https://www.facebook.com/culturametromx/,Sin información,Sin información,Activo
POINT(-99.1374468473492 19.4375069462586),56,Salón Rojo Cineclub,"-99,13744685","19,43750695",Presencial en un lugar fijo,Institución educativa privada,2022,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/Sal%C3%B3n-Rojo-137504322941465,https://www.instagram.com/salonrojo_cineclub/?hl=es-la,https://twitter.com/SalonRojo_cine,Activo
POINT(-99.1309381063486 19.267057447172),242,Sanadoras,"-99,13093811","19,26705745",Itinerante,Comunitario,Sin información,Reflexionar sobre temáticas diversas a través del cine,Sin información,Mujeres,https://www.facebook.com/ColectivaSanadoras,Sin información,Sin información,Activo
POINT(-99.1342656 19.4013943),112,Semillero de Copil,"-99,1342656","19,4013943",Presencial en un lugar fijo,Independiente,2015,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/semillerodecopil/,Sin información,Sin información,Activo
POINT(-99.2454647766499 19.2708418819851),328,Semillitas de Colores ( Casa del Éxodo),"-99,24546478","19,27084188",Presencial en un lugar fijo,Comunitario,2021,Sin información,Sin información,Infancias,https://www.facebook.com/AsociacionDeColonosDelAjuscoMedioAC,Sin información,Sin información,Activo
POINT(-99.1318278647612 19.4340606225255),324,Seminario 12,"-99,13182786","19,43406062",Presencial en un lugar fijo,Independiente,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/Seminario12CDMX,Sin información,Sin información,Activo
POINT(-99.2056112 19.4733689),108,Siervos de la Cultura:Cineclub,"-99,2056112","19,4733689",Presencial en un lugar fijo,Alcaldía,2018,Promover el cine,Dos veces por semana,Para todo público,https://www.facebook.com/profile.php?id=100029060755609,Sin información,Sin información,Activo
POINT(-99.095990807033 19.3949008288734),197,Silvestre Revueltas,"-99,09599081","19,39490083",Presencial en un lugar fijo,Alcaldía,2019,Promover el cine,Semanalmente,Para todo público,Sin información,Sin información,http://www.iztacalco.cdmx.gob.mx/inicio/,Activo
POINT(-99.1515717338586 19.3843464157741),174,Sin elipsis,"-99,15157173","19,38434642",Itinerante,Independiente,2019,Formar comunidad por medio del cine,Semanalmente,Para todo público,https://www.facebook.com/sinelipsis,Sin información,Sin información,Activo
POINT(-99.1829467132869 19.4908735944254),329,Soy Audiovisual,"-99,18294671","19,49087359",Sin información,Independiente,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/soyy.audiovisual,Sin información,Sin información,Activo
POINT(-99.1605629036428 19.4089483009969),187,Sprockets Cine Club Infantil ,"-99,1605629","19,4089483",Sin información,Independiente,Sin información,Sin información,Sin información,Infancias,https://www.facebook.com/sprocketscineclubinfantil/,Sin información,Sin información,Activo
POINT(-99.1448287 19.4229482),188,Sueños libres (Centro Urbano Doctores) ,"-99,1448287","19,4229482",Presencial en un lugar fijo,Comunitario,2020,Reflexionar sobre temáticas diversas a través del cine,Quincenalmente,Adultos mayores,https://www.facebook.com/EducarparaelBuentrato,Sin información,Sin información,Activo
POINT(-99.1605887185141 19.40543022694),189,TODOS SOMOS OTROS FESTIVAL INTERNACIONAL TODOS SOMOS OTROS,"-99,16058872","19,40543023",Itinerante,Comunitario,Sin información,Sin información,Mensualmente,Sin información,https://www.facebook.com/TodosSomosOtros,https://www.instagram.com/todossomosotros/   ,Sin información,Activo
POINT(-99.1864614722747 19.3332437295346),13,Teatro Estefanía Chávez Barragán,"-99,18646147","19,33324373",Presencial en un lugar fijo,Institución educativa privada,2016,Formar públicos cinematográficos,Quincenalmente,Estudiantes,Sin información,https://www.instagram.com/difusioncultural.fa/,Sin información,Activo
POINT(-99.2587395608433 19.3594425038494),337,Tecnológico de Monterrey Campus Santa Fe,"-99,25873956","19,3594425",Presencial en un lugar fijo,Institución educativa privada,2023,Promover el cine,Otro,Estudiantes,Sin información,Sin información,Sin información,Activo
POINT(-99.1727876305743 19.3480565797732),38,Terminal Coyacán,"-99,17278763","19,34805658",Presencial en un lugar fijo,Independiente,2016,Formar comunidad por medio del cine,Sin temporalidad fija,Para todo público,www.facebook.com/terminalcoyoacan,https://www.instagram.com/terminalcoyoacan/,"www.terminalcoyoacanradio.com, www.twitter.com/TermCoyoacan (TW)",Activo
POINT(-99.1541720647033 19.428868639924),135,Tertulias cinematográficas (El 77 Centro Cultural Autogestivo),"-99,15417206","19,42886864",Presencial en un lugar fijo,Independiente,2019,Promover el cine mexicano,Mensualmente,Comunidades específicas,https://www.facebook.com/el77cca,Sin información,https://www.el77.mx/?fbclid=IwAR14YSJqrweYZmA2NwYPFH_6O-d_RiOCaO9-vmLMvZRh5r2kw_4yF2TOtag,Activo
POINT(-99.1524907 19.3782637),115,Tiempo de Cine ,"-99,1524907","19,3782637",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Activo
POINT(-99.1620495086518 19.5045338351757),37,UHLV ,"-99,16204951","19,50453384",Presencial en un lugar fijo,Comunitario,2023,Garantizar el ejercicio de los derechos culturales,Quincenalmente,Para todo público,no me las pasó,Sin información,marlaballe@hotmail.com,Activo
POINT(-99.0726300496483 19.3626771089348),202,UNIVERSIDAD AUTÓNOMA METROPOLITANA UNIDAD IZTAPALAPA,"-99,07263005","19,36267711",Presencial en un lugar fijo,Institución educativa pública,Sin información,Promover el cine mexicano,Sin información,Universitarios,https://www.facebook.com/UAMIztapalapaOficial/,Sin información,http://www.izt.uam.mx/ceu/activcult.html,Activo
POINT(-99.1327661823202 19.4293422903427),32,Un paseo por los libros A.C. (espacio de exhibición),"-99,13276618","19,42934229",Presencial en un lugar fijo,Independiente,1997,Garantizar el ejercicio de los derechos culturales,Sin temporalidad fija,Para todo público,https://www.facebook.com/unpaseoporloslibros/,https://www.instagram.com/paseoxloslibros/?hl=es,https://www.unpaseoporloslibros.com/,Activo
POINT(-99.187028 19.503389),267,Universidad Autónoma Metropolitana. Unidad Azcapotzalco,"-99,187028","19,503389",Sin información,Institución educativa pública,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/cineclub.uama/,https://www.instagram.com/uamazcapotzalco/,https://twitter.com/uam_comunidad?lang=es,Activo
POINT(-99.1279742 19.4361831),190,Universidad Obrera de México,"-99,1279742","19,4361831",Presencial en un lugar fijo,Institución educativa pública,Sin información,Sin información,Sin información,Sin información,https://www.facebook.com/UOM.VLT/,Sin información,https://www.uom.mx/?fbclid=IwAR1ksQ8rgcinqyY14FjbCu6vIMBukeIzVtCUHst-kf4oUTEs8rJxXGUfM_U,Activo
POINT(-99.2101265 19.3018015),279,Universidad Pedagógica Nacional,"-99,2101265","19,3018015",Sin información,Institución educativa pública,Sin información,Sin información,Sin información,Universitarios,https://www.facebook.com/profile.php?id=100071760612903,Sin información,https://upn.mx/,Activo
POINT(-99.1469694 19.3860084),120,Universidad de la Tercera Edad Cumbres ,"-99,1469694","19,3860084",Presencial en un lugar fijo,Alcaldía,Sin información,Sin información,Sin información,Adultos mayores,Sin información,Sin información,Sin información,Activo
POINT(-99.1928472170796 19.3367905541833),31,Universidad del Cine,"-99,19284722","19,33679055",Presencial en un lugar fijo,Independiente,1991,Formar públicos cinematográficos,Semanalmente,Para todo público,https://www.instagram.com/amci_uni/?hl=es,https://www.instagram.com/amci_uni/?hl=es,https://www.amci.edu.mx/,Activo
POINT(-99.16888 19.40819),325,Universidad del Distrito Federal Campus Condesa,"-99,16888","19,40819",Presencial en un lugar fijo,Institución educativa privada,Sin información,Sin información,Sin información,Universitarios,https://www.facebook.com/universidadudfcondesa,Sin información,Sin información,Activo
POINT(-99.1767971626938 19.4140988768908),94,Uotan Studio,"-99,17679716","19,41409888",Presencial en un lugar fijo,Independiente,2022,Formar comunidad por medio del cine,Quincenalmente,Para todo público,https://www.uotan.mx/,https://www.instagram.com/uotan.mx/?igshid=MWQ1ZGUxMzBkMA%3D%3D,Sin información,Activo
POINT(-99.1852112 19.4839412),109,Videoteca Manuel Álvarez Bravo ,"-99,1852112","19,4839412",Presencial en un lugar fijo,Alcaldía,2019,Promover el cine,Semanalmente,Para todo público,https://www.facebook.com/AzcapotzalcoMX,Sin información,@AzcapotzalcoMx (Twitter),Activo
POINT(-99.0207656972723 19.2951450598932),78,Viendo LA VIDA CON ALEGRIA,"-99,0207657","19,29514506",Virtual,Comunitario,2018,Promover el cine mexicano,Semanalmente,Para todo público,https://www.facebook.com/profile.php?id=100075705379129 ,Sin información,Sin información,Activo
POINT(-99.1639295 19.4181733),175,We Are Todos,"-99,1639295","19,4181733",Presencial en un lugar fijo,Independiente,2019,Garantizar el ejercicio de los derechos culturales,Mensualmente,Comunidades específicas,https://www.facebook.com/WEARETODOS,Sin información,Sin información,Activo
POINT(-99.1542015035834 19.421827266778),41,ZIFF CINECLUB ,"-99,1542015","19,42182727",Itinerante,Independiente,2019,Promover el cine,Dos veces por semana,Para todo público,https://www.facebook.com/profile.php?id=100083067444023&mibextid=ZbWKwL,Sin información,Sin información,Activo
POINT(-99.1057896229828 19.3862210357864),91,cineclub Infonavit Iztacalco ,"-99,10578962","19,38622104",Mixto,Independiente,2022,Formar comunidad por medio del cine,Semanalmente,Comunidades específicas,https://www.facebook.com/profile.php?id=100086912946291,https://www.instagram.com/cineclub_infonavit_iztacalco/,Sin información,Activo
POINT(-99.1758777342638 19.4131562648772),6,d,"-99,17587773","19,41315626",Itinerante,Independiente,2022,Promover el cine mexicano,Fines de semana,Para todo público,https://www.facebook.com/cineclubzenit/,Sin información,Sin información,Activo
POINT(-99.1500703358248 19.4384027229305),169,kinotecnia Cineclub,"-99,15007034","19,43840272",Sin información,Independiente,Sin información,Sin información,Quincenalmente,Sin información,Sin información,Sin información,Sin información,Activo
POINT(-99.1984173477599 19.3392210746357),55,Ícaro Espacio,"-99,19841735","19,33922107",Mixto,Independiente,2017,Garantizar el ejercicio de los derechos culturales,Sin temporalidad fija,Para todo público,https://www.facebook.com/icaro.espacio/?locale=es_LA,Sin información,https://twitter.com/icaro_espacio?lang=es,Activo
POINT(-99.3075507878275 19.3556080104596),93,“KILITA RESISTENCIA” taller/centro cultural ,"-99,30755079","19,35560801",Presencial en un lugar fijo,Independiente,2023,Formar comunidad por medio del cine,Sin temporalidad fija,Para todo público,Sin información,Sin información,Sin información,Activo
